Satellite,Status,NORAD,Uplink,Downlink,Beacon,Mode,Callsign,Reports,Info,Telemetry Decoder
BugSat-1,ACTIVE,40014,.,.,437.445,9k6 FSK,LU7AA,latest report,details,
DUCHIFAT,ACTIVE,40021,.,.,145.980,"CW, 1k2 BPSK",4X4HSL,latest report,details,
PolyITAN,INACTIVE,40042,.,.,437.675,"CW, 9k6 FSK",EM0UKP,latest report,details,
EO-79 (QB50p1),INACTIVE,40025,.,.,145.815,"CW, 1k2 BPSK",.,latest report,details,
EO-80 (QB50p2),INACTIVE,40032,.,.,145.880,"CW, 1k2 BPSK",.,latest report,details,
UniSat-6,ACTIVE,40012,.,.,437.426,9k6 FSK,II0US,latest report,details,
TigriSat,ACTIVE,40043,.,.,435.000,9k6 FSK,HNATIG,latest report,details,
SPROUT,ACTIVE,39770,437.600,437.600,437.525,"1k2 AFSK, CW, SSTV",JQ1ZJQ,latest report,details,
AO-7 (Phase-2B,ACTIVE,07530,145.850-950,29.400-500,29.502,A,,latest report,details,
AO-7 (Phase-2B),ACTIVE,07530,432.125-175,145.975-925,145.970,"B,C",,latest report,details
UO-11 (UoSAT-2),ACTIVE,14781,.,145.826,,"FM, 1k2 FSK",UOSAT-2,latest report,details,
RS-22 (Mozhayets),ACTIVE,27939,.,.,435.352,CW,,latest report,details,
AO-27 (EYESAT-A),INACTIVE,22825,145.850,436.795,436.795,"1k2 AFSK,FM",,latest report,details,
FO-29 (JAS-2),ACTIVE,24278,145.900-999,435.900-800,435.7964,"SSB,CW",8J1JCS,latest report,details,
ISS,ACTIVE,25544,437.550,437.550,437.550,APRS,RS0ISS,latest report,details,
ISS,ACTIVE,25544,145.20/144.49,145.800,,Voice,NA1SS,latest report,details,
ISS,ACTIVE,25544,145.825,145.825,145.825,APRS,"RS0ISS-4,-11",latest report,details,
NO-44 (PCsat1),ACTIVE,26931,145.827,145.827,145.827,1k2 AFSK,PCSAT-1,latest report,details,
SO-50 (SaudiSat-1c),ACTIVE,27607,145.850,436.795,.,FM_tone 67.0Hz,,latest report,details,
CO-55 (CUTE-I),ACTIVE,27844,.,437.470,436.8375,1k2 AFSK,JQ1YCY,latest report,details,
CO-57 (XI-IV),ACTIVE,27848,.,437.490,436.8475,"1k2 AFSK,CW",JQ1YCW,latest report,details,
CO-58 (XI-V),ACTIVE,28895,.,437.345,437.465,"1k2 AFSK,CW",JQ1YGW,latest report,details,
CUTE1.7+APDII,ACTIVE,32785,1267.600,437.475,.,9600bps GMSK,JQ1YTC,latest report,details,
CUTE1.7+APDII,ACTIVE,32785,.,437.475,437.275,"1k2 AFSK,CW",JQ1YTC,latest report,details,
AAUSAT-II,ACTIVE,32788,.,437.432,437.432,1k2 FFSK/MSK,OZ2CUB,latest report,details,
DO-64 (DELFI-C3),ACTIVE,32789,.,145.870,145.8675,1k2 BPSK,DLFIC3,latest report,details,
CO-66 (SEEDS-II),ACTIVE,32791,.,437.485,437.485,"1k2 FM,CW,Talker",JQ1YGU,latest report,details,
RS-30 (Yubileiniy),ACTIVE,32953,.,435.315/215,435.315,CW,RS30,latest report,details,
PRISM (HITOMI),ACTIVE,33493,.,437.425,437.250,"AFSK,GMSK,CW",JQ1YCX,latest report,details,
SwissCube-1,ACTIVE,35932,.,437.505,437.505,"1k2 AFSK (LSB),CW",HB9EG/1,latest report,details,
BEESAT-4,ACTIVE,35933,.,436.000,436.000,9k6/4k8 GMSK,DP0BEE,latest report,details,
GOMX-1,ACTIVE,39430,.,.,437.255,"2k4/4k8* GMSK
 CW",.,latest report,details,
ITUpSat-1,ACTIVE,35935,.,437.325,437.325,"19k2 GFSK,CW",,latest report,details,
O/OREOS,ACTIVE,37224,.,437.305,437.3037,1k2 AFSK,KF6JBP,latest report,details,
E1P-U2,ACTIVE,37855,.,437.505,437.502,"1k2 AFSK,LSB",,latest report,details,
MCubed-1,ACTIVE,37855,.,437.485,437.485,"9k6 GMSK,KISS",,latest report,details,
HORYU-2,ACTIVE,38340,.,437.375,437.378/372,1k2 FSK/CW,JG6YBW,latest report,details,
AENEAS,ACTIVE,38760,.,437.600,437.600,1k2 AFSK,KE6YFA-1,latest report,details,
STRaND-1,ACTIVE,39090,.,437.568,437.568,9k6 GMSK,,latest report,details,
BEESAT-2,ACTIVE,39136,.,435.950,435.950,4k8 GMSK,DP0BEF,latest report,details,
SOMP,ACTIVE,39135,.,437.504,437.504,"CW, 1k2 FSK",DP0TUD,latest report,details,
CubeBug-1,ACTIVE,39153,.,437.438,437.438,1k2 AFSK,CUBEB1,latest report,details,
AO-73 (FUNCube-1),ACTIVE,39444,435.150 â 435.130,145.950 â 145.970,145.935,1k2 BPSK,.,latest report,details,
FUNCube-2 (on UKube-1),ACTIVE,40074,435.060 â 435.080,145.930 â 145.950,145.915,1k2 BPSK,.,latest report,details,
FIRST MOVE,ACTIVE,39439,.,.,145.970,CW,.,latest report,details,
ZACube-1,ACTIVE,39417,.,.,437.345,"CW, 1k2 AFSK",.,latest report,details,
UWE-3,ACTIVE,39446,.,.,"436.395
 437.385",9k6 FSK,.,latest report,details,
LO-74 (CubeBug-2),ACTIVE,39440,.,.,437.445,"1k2 AFSK, 9k6 FSK",.,latest report,details,
MCubed-2,ACTIVE,90710,.,.,437.485,9k6 FSK,NOCALL,latest report,details,
